iter	Passed	Remaining
0	146	146489
1	147	73709
2	148	49458
3	149	37329
4	150	30033
5	151	25158
6	152	21679
7	153	19066
8	154	17054
9	155	15432
10	156	14105
11	157	13003
12	158	12064
13	159	11260
14	160	10562
15	161	9951
16	162	9414
17	163	8932
18	164	8503
19	165	8116
20	167	7801
21	169	7546
22	172	7321
23	174	7115
24	177	6925
25	180	6747
26	182	6580
27	184	6415
28	187	6269
29	189	6125
30	191	5998
31	194	5880
32	196	5770
33	199	5658
34	201	5554
35	203	5451
36	205	5352
37	207	5256
38	210	5177
39	212	5097
40	214	5026
41	216	4949
42	219	4879
43	221	4813
44	223	4750
45	226	4695
46	229	4646
47	231	4599
48	234	4550
49	237	4510
50	239	4455
51	242	4416
52	244	4374
53	247	4339
54	250	4298
55	252	4251
56	254	4207
57	256	4172
58	259	4138
59	261	4100
60	263	4060
61	265	4024
62	268	3986
63	270	3953
64	272	3923
65	274	3890
66	276	3856
67	278	3810
68	279	3777
69	281	3745
70	283	3713
71	286	3687
72	288	3661
73	289	3627
74	291	3594
75	293	3562
76	294	3530
77	295	3497
78	297	3468
79	299	3445
80	301	3418
81	302	3389
82	304	3363
83	305	3333
84	306	3300
85	308	3273
86	308	3241
87	310	3216
88	311	3191
89	313	3167
90	314	3141
91	315	3114
92	316	3089
93	318	3066
94	319	3042
95	320	3020
96	321	2997
97	323	2975
98	324	2956
99	326	2939
100	328	2921
101	328	2895
102	330	2875
103	331	2854
104	332	2834
105	333	2816
106	335	2796
107	336	2775
108	337	2756
109	338	2739
110	339	2723
111	341	2706
112	342	2687
113	343	2669
114	344	2650
115	345	2631
116	346	2613
117	347	2597
118	348	2578
119	349	2561
120	350	2546
121	351	2529
122	352	2511
123	353	2496
124	354	2483
125	355	2468
126	356	2453
127	357	2435
128	358	2419
129	359	2404
130	360	2391
131	361	2377
132	362	2363
133	363	2348
134	364	2334
135	365	2320
136	366	2307
137	367	2295
138	368	2285
139	370	2273
140	371	2260
141	372	2247
142	372	2234
143	373	2222
144	374	2210
145	375	2197
146	376	2185
147	377	2174
148	378	2162
149	379	2151
150	380	2141
151	382	2133
152	384	2126
153	385	2118
154	386	2108
155	387	2097
156	388	2086
157	389	2076
158	390	2065
159	391	2056
160	392	2046
161	393	2038
162	395	2032
163	397	2026
164	399	2019
165	400	2012
166	402	2005
167	403	1996
168	404	1988
169	405	1981
170	407	1973
171	409	1968
172	410	1963
173	412	1960
174	414	1953
175	415	1945
176	416	1938
177	418	1930
178	419	1922
179	420	1914
180	420	1904
181	421	1895
182	423	1889
183	424	1884
184	426	1879
185	427	1872
186	428	1864
187	429	1856
188	430	1848
189	431	1840
190	432	1833
191	434	1827
192	435	1821
193	436	1814
194	438	1809
195	439	1804
196	441	1799
197	442	1791
198	443	1784
199	444	1777
200	445	1769
201	446	1763
202	447	1756
203	448	1751
204	450	1745
205	451	1740
206	453	1737
207	455	1735
208	457	1732
209	459	1727
210	460	1721
211	461	1716
212	463	1710
213	464	1707
214	466	1703
215	468	1700
216	470	1696
217	471	1690
218	472	1684
219	473	1678
220	474	1673
221	475	1667
222	477	1662
223	478	1657
224	480	1653
225	481	1649
226	483	1645
227	484	1640
228	485	1635
229	487	1630
230	488	1625
231	489	1620
232	490	1615
233	492	1610
234	493	1607
235	495	1604
236	496	1599
237	497	1594
238	498	1588
239	500	1583
240	501	1578
241	502	1573
242	503	1569
243	504	1564
244	506	1560
245	508	1557
246	509	1554
247	511	1549
248	512	1546
249	514	1542
250	515	1539
251	517	1535
252	518	1532
253	521	1530
254	523	1528
255	525	1528
256	527	1524
257	528	1520
258	530	1518
259	531	1513
260	532	1508
261	533	1503
262	535	1499
263	536	1496
264	539	1495
265	540	1491
266	541	1487
267	543	1483
268	544	1478
269	545	1473
270	546	1468
271	547	1464
272	548	1460
273	550	1457
274	552	1455
275	554	1454
276	555	1450
277	556	1445
278	557	1440
279	558	1436
280	559	1431
281	560	1427
282	561	1422
283	562	1418
284	564	1415
285	566	1413
286	568	1412
287	569	1407
288	570	1403
289	571	1398
290	572	1394
291	573	1389
292	574	1385
293	575	1381
294	577	1379
295	578	1376
296	581	1376
297	582	1372
298	583	1368
299	584	1364
300	585	1360
301	586	1356
302	587	1352
303	588	1348
304	589	1344
305	591	1340
306	592	1338
307	594	1336
308	596	1334
309	597	1330
310	598	1326
311	600	1323
312	601	1319
313	601	1315
314	603	1311
315	604	1307
316	605	1304
317	606	1301
318	608	1299
319	611	1299
320	612	1295
321	613	1292
322	614	1288
323	616	1285
324	617	1281
325	618	1278
